,file_name,label,full_waveform_min,full_waveform_max,full_waveform_mean,full_waveform_median,full_waveform_std,full_waveform_skew,full_waveform_kurtosis,full_waveform_duration,swt_d_1_low_power_ratio,swt_d_1_med_power_ratio,swt_d_1_high_power_ratio,swt_a_1_low_power_ratio,swt_a_1_med_power_ratio,swt_a_1_high_power_ratio,swt_d_2_low_power_ratio,swt_d_2_med_power_ratio,swt_d_2_high_power_ratio,swt_a_2_low_power_ratio,swt_a_2_med_power_ratio,swt_a_2_high_power_ratio,swt_d_3_low_power_ratio,swt_d_3_med_power_ratio,swt_d_3_high_power_ratio,swt_a_3_low_power_ratio,swt_a_3_med_power_ratio,swt_a_3_high_power_ratio,swt_d_4_low_power_ratio,swt_d_4_med_power_ratio,swt_d_4_high_power_ratio,swt_a_4_low_power_ratio,swt_a_4_med_power_ratio,swt_a_4_high_power_ratio,swt_d_1_energy_entropy,swt_d_1_higuchi_fractal,swt_a_1_energy_entropy,swt_a_1_higuchi_fractal,swt_d_2_energy_entropy,swt_d_2_higuchi_fractal,swt_a_2_energy_entropy,swt_a_2_higuchi_fractal,swt_d_3_energy_entropy,swt_d_3_higuchi_fractal,swt_a_3_energy_entropy,swt_a_3_higuchi_fractal,swt_d_4_energy_entropy,swt_d_4_higuchi_fractal,swt_a_4_energy_entropy,swt_a_4_higuchi_fractal
0,a0001,1,-1.1844593506719938,1.570202391901937,0.07202804896475062,0.07284810467615316,0.41652185023886934,-0.00422628506751856,0.04480668253000886,4.1,0.5392813622451074,0.14505263074335353,1.1005255591542011,0.26116935710011013,0.6863739561375622,0.6738175490412787,0.7956744212196661,0.1265050747968915,0.1284654601933319,0.2631115423072597,0.15686332122405094,0.7095630814731348,0.8678464191820333,0.21545164779192297,0.11700091190934614,0.2612570915342247,0.0874228150816658,0.13050976956066615,0.8889891959802867,0.23224967123318205,0.11606059132158957,0.2609314583887683,0.08802398353848312,0.1177491238792465,-922.8590821493552,1.201187119635507,-1274.2227801250694,1.067751530958446,-914.8469380606862,1.6194471868775713,-1034.7818042087983,1.1815627159996622,-1855.673533402236,1.987979968147233,-1007.0556379921335,1.4838344573283264,-4237.150753647584,2.0755137885465107,-1270.5822370596766,1.5723640212858756
1,a0002,1,-1.5105128880269683,2.3005111351957073,0.05857906301124043,0.0402184249234069,0.4827259063175886,0.16527897073550277,-0.19268532669985028,11.996666666666666,0.5898646229534174,0.11787031197247447,1.293460256812377,0.23105239141795267,0.6957383054025359,0.9006206224910444,0.8087866934757737,0.09164283008755753,0.16981400158067428,0.240426400685563,0.13618665006668867,0.9629843416983543,0.8622975277593194,0.26886843093220336,0.1042494569254531,0.24098608129472707,0.07256607507944064,0.1724714679152477,0.8747016033499487,0.3359493940351954,0.11277617984517568,0.2406583765711794,0.07124200091144896,0.12371871341782814,-1900.5889747072604,1.1872994402635235,-3060.629072800095,1.066430362196574,-2413.8629391374793,1.6082077042460234,-2377.957728823485,1.1677834505281521,-5261.448347496871,1.9624195792419699,-2180.0306673474824,1.4577360515844315,-12225.070467159603,2.045015596140924,-3019.01651991987,1.5345669815057625
2,a0003,1,-1.3507052552815988,2.4530047790264846,0.06964459986704569,0.08592373147260171,0.46748653570417487,0.005940120372004993,-0.08653016078138265,11.996666666666666,0.46887272955135145,0.11058858599746359,1.2959503959376095,0.24470781387525983,0.5446609618238808,0.8456765601289027,0.6550837136497927,0.08553441153078714,0.1281104640171899,0.27769711154429755,0.12426233189122436,0.9115167969311695,0.7048828741115883,0.2226362191436349,0.12174129825132625,0.27684965108678233,0.0721803706893889,0.13243655461372422,0.7159789929135691,0.27855360571586446,0.14305406540303772,0.27584478617852587,0.07031672966418073,0.11789178446081558,-2210.744662783861,1.194846312564756,-3431.5765215632614,1.07348189616272,-2272.9004021893097,1.656308164393522,-2681.9414697525563,1.1755868946428214,-4797.089608327003,1.9964056621415167,-2305.228387949798,1.507890717567532,-11837.75375582965,2.0660041714998445,-3065.9962672104048,1.6003141536109373
3,a0004,1,-1.2535797342323418,2.625025925842433,0.062372042167786836,0.05863096969970224,0.4462238807657309,0.1748451758885723,0.14900967985374125,11.996666666666666,0.6396184458076386,0.14042597689156802,1.4258642096640963,0.23369491831919523,0.6938437933316302,0.9756270807135218,0.8670089517105609,0.09471807004193862,0.12137771175000715,0.2652296349597414,0.13910756977556615,1.0514216790580972,0.914535503882068,0.2624753278405092,0.12939653523392755,0.2616209341223786,0.07439185027028437,0.12477228393021622,0.9248193643449836,0.32433893365337557,0.1645215051203006,0.25801183033779973,0.07154431101969234,0.09526872726907665,-2342.045940989787,1.1892606911279402,-3453.4758087510986,1.0683679501555197,-2387.16161314054,1.6285955208660041,-2664.1558077428986,1.173524164037846,-5237.126250349869,1.9678196478291,-2452.40522545041,1.4835691599689045,-12180.723417624931,2.0547867416409136,-3296.7304252188396,1.5674408258506798
4,a0005,1,-1.2930418760781366,2.559527578559538,0.0545688041687891,0.051535858312601754,0.45337332109990386,0.18084874892723157,0.17667309223561034,11.996666666666666,0.5840705046997846,0.10731211343024658,1.4013687723046324,0.28864423080564033,0.7710897894837009,0.9906017877622233,0.7943470998145539,0.10689802920581144,0.154146338408654,0.309206307514762,0.14377889592922005,1.0881714620665233,0.8458751333521632,0.23460261451920403,0.10929287098875837,0.31082908567876716,0.08526679090630238,0.1437392616565047,0.8574854872951736,0.29630293691691245,0.13342668999378635,0.31150526133009965,0.08458097494047911,0.09984552797201646,-2376.276063768143,1.199505653168514,-3187.6650974345084,1.0710109502851186,-2394.1708150750283,1.6198590899717302,-2713.5850762372293,1.1781135478272364,-5122.569244986796,1.9666008165268674,-2456.4081290568633,1.482671557576042,-12127.454655988608,2.045368214221704,-3172.758633777405,1.5645692932448116
5,a0006,1,-1.901094372709068,1.6606159076973228,0.06058199939692137,0.0520171373595512,0.43440070839958067,-0.07944593924264953,0.04015225689176827,11.996666666666666,0.6019500208548263,0.11838075480079756,1.2622982650409003,0.24047720992623015,0.5976603663592105,0.9533893906626854,0.8180833610567627,0.0940813115009693,0.15471267511963815,0.23887872354908926,0.11713261720189408,0.9964792464834205,0.8781149627109839,0.2209883388299939,0.13552435442431324,0.24465931099045912,0.07731832911677915,0.1540458799330829,0.8941712718025601,0.2822156230442035,0.15397316972403452,0.24704460509400072,0.07487613683563132,0.10475210129791868,-2333.9165805489793,1.1968326097500015,-3512.507589240921,1.0715134049849016,-2569.037839856196,1.6068220459716867,-2848.9386465184793,1.1788523408760738,-5387.079367030079,1.9707278925064198,-2553.565519389771,1.4690465882641803,-12338.204043682636,2.049880294168198,-3439.227205490841,1.5547205676251392
6,a0007,-1,-1.8454306394532658,1.6464952245239113,0.06522795905016461,0.08362342218158499,0.46622746763382367,-0.09766463159240524,0.14625276585329372,11.996666666666666,0.49908371966895304,0.10688330159339267,1.1994245765135538,0.20870313600138884,0.704080847164963,0.8836418876222307,0.7083501646724774,0.09533518849953805,0.14845806799235955,0.22957841519806318,0.12570589697243256,0.8987714661147457,0.762994751069201,0.2085143645232007,0.13450884219436796,0.2300872544109656,0.06992451736233142,0.14629227967912334,0.7769614238415835,0.2615920495506967,0.154312452908907,0.23052229249111741,0.06911982206818526,0.10492339447525893,-2388.8361061647665,1.1962160562588562,-3441.6244653448994,1.068600164951817,-2300.7271233094957,1.6277029749445742,-2728.961476081739,1.178645535540077,-5062.642291829666,1.9653414039298143,-2471.25248874606,1.498672530275211,-12023.77766173921,2.0472426501188155,-3164.58834541988,1.5824661373573234
7,a0008,1,-1.651061271360786,1.877699355583938,0.05122246760366895,0.044675230563892325,0.44240766198594045,0.11461610186342112,0.22937371974898824,11.996666666666666,0.5793501570653584,0.11829562894629488,1.40577776950295,0.2300972222530386,0.8092117321291564,0.9635078738461188,0.7715777947137821,0.09590980587732147,0.13066572385293754,0.25984114878000325,0.17180016540772483,1.0319212080545994,0.8215578568086734,0.269899754376183,0.14430891445956984,0.2629485453109366,0.08501475471008078,0.13725709344788392,0.8340386182874984,0.33186479602186897,0.16739146296536397,0.2643009080941959,0.08119781436763607,0.10824329665863475,-2402.087960110698,1.1840536885953996,-3195.747807921621,1.0661430111692969,-2785.4149843258847,1.6364247012484006,-2832.311239883292,1.1593451022422092,-5466.069016008501,1.9775721087821783,-2661.7099811450785,1.472670066055514,-12433.007294926723,2.0526510166758407,-3416.061259203537,1.5571734704152564
8,a0009,-1,-2.0383510224674195,2.209435233340308,0.05406435877674148,0.049097936288330465,0.471049477067762,0.006257815739122086,1.0829404572870898,11.996666666666666,0.48636769974308675,0.21125815079127983,1.2841901224754937,0.20432207371558245,0.5160629026699215,0.903727332616085,0.6719298021269385,0.13350609669635055,0.11998484088372738,0.2268569752111737,0.21335853527358578,0.9638434834678328,0.7195418583057751,0.22562264932068243,0.12331331106094888,0.22462764552923561,0.13354448286921805,0.1178585021622401,0.7303080086215952,0.28028267439268956,0.15751643284262698,0.22322559009923243,0.12839465746933829,0.09091986438842949,-2347.0032214286393,1.1780126152348753,-3153.4970882828165,1.0669060598510998,-2699.7829829297298,1.6104101751060869,-2689.40270394196,1.1595158997010642,-5310.687513613584,1.963881799075715,-2512.5997916293336,1.449544103304752,-12373.263978493134,2.040769967373594,-3387.2062200755518,1.533962035633058
9,a0010,1,-1.2906365477222017,1.860087661249168,0.04932362440293857,0.04635025541987915,0.46198196695776234,0.1364410828517223,-0.22918169569769953,11.996666666666666,0.48199950073348746,0.12419521758676018,1.290153788715949,0.2560916391038668,0.7047977322028186,0.9432045396764686,0.7131238253360517,0.1313947073871902,0.15433155244205873,0.23991613603725515,0.15019399627331737,0.9976347185971304,0.7765134247525416,0.14951372680846045,0.11896974227471166,0.23940418989888568,0.0750886673518558,0.15482992852392438,0.792872630763058,0.18853692558235163,0.1233941959855124,0.23975492144965752,0.07729704685365849,0.10775928215768969,-1926.1659585397238,1.1846727768699825,-2796.83075168286,1.064553509741961,-2735.041365409947,1.5583495552239792,-2270.0413649053744,1.1633259627167063,-5933.720913796402,1.9343467249467343,-2153.3513391295887,1.4020981646695212,-12923.555004430375,2.031575494435528,-3149.0907086127536,1.4701093309925322
